,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
0,2014-01-02 00:00:00,i,short,2014-01-02 10:45:00,908.0,2014-01-02 11:15:00,910.0,-300.0
1,2014-01-02 00:00:00,i,long,2014-01-02 11:15:00,910.0,2014-01-02 13:45:00,905.0,-600.0
2,2014-01-02 00:00:00,i,short,2014-01-02 13:45:00,905.0,2014-01-03 11:15:00,891.0,1300.0
3,2014-01-07 00:00:00,i,long,2014-01-07 10:00:00,893.0,2014-01-07 13:45:00,896.0,200.0
4,2014-01-08 00:00:00,i,short,2014-01-08 10:45:00,889.0,2014-01-08 13:45:00,889.0,-100.0
5,2014-01-08 00:00:00,i,long,2014-01-08 15:00:00,892.0,2014-01-09 13:45:00,892.0,-100.0
6,2014-01-09 00:00:00,i,short,2014-01-09 15:00:00,888.0,2014-01-10 13:45:00,879.0,800.0
7,2014-01-13 00:00:00,i,long,2014-01-13 15:00:00,871.0,2014-01-14 13:45:00,875.0,300.0
8,2014-01-17 00:00:00,i,short,2014-01-17 09:30:00,873.0,2014-01-17 13:45:00,875.0,-300.0
9,2014-01-17 00:00:00,i,long,2014-01-17 15:00:00,876.0,2014-01-20 09:30:00,871.0,-600.0
10,2014-01-20 00:00:00,i,short,2014-01-20 09:30:00,871.0,2014-01-20 13:45:00,864.0,600.0
11,2014-01-22 00:00:00,i,long,2014-01-22 10:45:00,854.0,2014-01-22 13:45:00,852.0,-300.0
12,2014-01-27 00:00:00,i,short,2014-01-27 09:30:00,866.0,2014-01-27 13:45:00,866.0,-100.0
13,2014-01-29 00:00:00,i,long,2014-01-29 10:45:00,865.0,2014-01-29 13:45:00,863.0,-300.0
14,2014-01-29 00:00:00,i,short,2014-01-29 13:45:00,863.0,2014-01-29 14:15:00,865.0,-300.0
15,2014-01-29 00:00:00,i,long,2014-01-29 14:15:00,865.0,2014-01-30 13:45:00,867.0,100.0
16,2014-02-07 00:00:00,i,short,2014-02-07 10:00:00,861.0,2014-02-07 13:45:00,855.0,500.0
17,2014-02-10 00:00:00,i,long,2014-02-10 14:15:00,857.0,2014-02-11 13:45:00,853.0,-500.0
18,2014-02-11 00:00:00,i,short,2014-02-11 15:00:00,848.0,2014-02-12 13:45:00,850.0,-300.0
19,2014-02-12 00:00:00,i,long,2014-02-12 13:45:00,850.0,2014-02-13 11:15:00,853.0,200.0
20,2014-02-18 00:00:00,i,short,2014-02-18 11:15:00,869.0,2014-02-18 14:15:00,865.0,300.0
21,2014-02-25 00:00:00,i,long,2014-02-25 13:45:00,821.0,2014-02-26 11:15:00,814.0,-800.0
22,2014-02-28 00:00:00,i,short,2014-02-28 15:00:00,817.0,2014-03-03 13:45:00,811.0,500.0
23,2014-03-05 00:00:00,i,long,2014-03-05 09:30:00,797.0,2014-03-05 10:45:00,790.0,-800.0
24,2014-03-05 00:00:00,i,short,2014-03-05 10:45:00,790.0,2014-03-05 11:15:00,794.0,-500.0
25,2014-03-05 00:00:00,i,long,2014-03-05 11:15:00,794.0,2014-03-05 14:15:00,806.0,1100.0
26,2014-03-06 00:00:00,i,short,2014-03-06 15:00:00,787.0,2014-03-07 13:45:00,764.0,2200.0
27,2014-03-11 00:00:00,i,long,2014-03-11 11:15:00,743.0,2014-03-11 14:15:00,746.0,200.0
28,2014-03-14 00:00:00,i,short,2014-03-14 13:45:00,724.0,2014-03-14 15:00:00,740.0,-1700.0
29,2014-03-14 00:00:00,i,long,2014-03-14 15:00:00,740.0,2014-03-17 10:00:00,733.0,-800.0
